Designator,Mid X,Mid Y,Rotation,Layer
H1,108.8,-35.8,270.0,top
H10,58.8,-60.8,270.0,top
H11,58.8,-85.8,270.0,top
H12,58.8,-110.8,270.0,top
H13,33.8,-35.8,270.0,top
H14,33.8,-60.8,270.0,top
H15,33.8,-85.8,270.0,top
H16,33.8,-110.8,270.0,top
H2,108.8,-60.8,270.0,top
H3,108.8,-85.8,270.0,top
H4,108.8,-110.8,270.0,top
H5,83.8,-35.8,270.0,top
H6,83.8,-60.8,270.0,top
H7,83.8,-85.8,270.0,top
H8,83.8,-110.8,270.0,top
H9,58.8,-35.8,270.0,top
J1,97.7575,-27.8,270.0,bottom
L1,46.8,-110.8,270.0,top
L2,33.8,-97.8,270.0,top
L3,33.8,-72.8,270.0,top
L4,33.8,-47.8,270.0,top
U1,57.885,-36.53,180.0,bottom
U2,95.8,-73.8,0.0,top
U3,46.8,-74.055,0.0,top
